"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
"182.81,-1.25,5.06"
